Entity,Code,Year,"Agree ""Most people can be trusted""","GDP per capita, PPP (constant 2017 international $)",Population,Continent
Afghanistan,AFG,2021,,1516.3057,40099460,
Albania,ALB,2021,,14518.906,2854710,
Algeria,DZA,2021,,11039.806,44177964,
Angola,AGO,2021,,5908.57,34503776,
Antigua and Barbuda,ATG,2021,,19124.43,93229,
Argentina,ARG,2021,,21527.195,45276788,
Armenia,ARM,2021,,14193.117,2790971,
Aruba,ABW,2021,,38866.332,106543,
Australia,AUS,2021,,49774.34,25921094,
Austria,AUT,2021,,54121.145,8922086,
Azerbaijan,AZE,2021,,14431.661,10312992,
Bahamas,BHS,2021,,30210.162,407920,
Bahrain,BHR,2021,,49387.418,1463266,
Bangladesh,BGD,2021,,5911.013,169356240,
Barbados,BRB,2021,,13754.803,281204,
Belarus,BLR,2021,,19751.203,9578172,
Belgium,BEL,2021,,51739.54,11611416,
Belize,BLZ,2021,,8762.623,400037,
Benin,BEN,2021,,3321.5522,12996901,
Bermuda,BMU,2021,,80271.13,64213,
Bhutan,BTN,2021,,10907.856,777500,
Bolivia,BOL,2021,,8052.1772,12079474,
Bosnia and Herzegovina,BIH,2021,,15666.54,3270948,
Botswana,BWA,2021,,14840.913,2588424,
Brazil,BRA,2021,,14592.353,214326224,
Brunei,BRN,2021,,60127.023,445382,
Bulgaria,BGR,2021,,24398.13,6885864,
Burkina Faso,BFA,2021,,2179.789,22100690,
Burundi,BDI,2021,,705.0304,12551215,
Cambodia,KHM,2021,,4354.5654,16589031,
Cameroon,CMR,2021,,3700.4644,27198632,
Canada,CAN,2021,,47892.945,38155012,
Cape Verde,CPV,2021,,6114.1333,587936,
Cayman Islands,CYM,2021,,67500.1,68157,
Central African Republic,CAF,2021,,837.5047,5457165,
Chad,TCD,2021,,1425.4945,17179744,
Chile,CHL,2021,,25449.13,19493184,
China,CHN,2021,,17602.695,1425893504,
Colombia,COL,2021,,14648.592,51516560,
Comoros,COM,2021,,3228.5269,821632,
Congo,COG,2021,,3234.393,5835814,
Costa Rica,CRI,2021,,21199.281,5153959,
Cote d'Ivoire,CIV,2021,,5325.0303,27478250,
Croatia,HRV,2021,,31635.824,4060139,
Curacao,CUW,2021,,20783.086,190348,
Cyprus,CYP,2021,,41701.703,1244193,
Czechia,CZE,2021,,40740.992,10510748,
Democratic Republic of Congo,COD,2021,,1073.6433,95894120,
Denmark,DNK,2021,,57962.652,5854246,
Djibouti,DJI,2021,,4913.2563,1105562,
Dominica,DMA,2021,,10878.037,72435,
Dominican Republic,DOM,2021,,18626.078,11117873,
East Asia and Pacific (WB),,2021,,18577.42,,
East Timor,TLS,2021,,5032.41,1320944,
Ecuador,ECU,2021,,10668.758,17797736,
Egypt,EGY,2021,,11566.05,109262184,
El Salvador,SLV,2021,,9086.047,6314165,
Equatorial Guinea,GNQ,2021,,14637.008,1634473,
Estonia,EST,2021,,38717.695,1328704,
Eswatini,SWZ,2021,,8856.829,1192273,
Ethiopia,ETH,2021,,2319.0684,120283024,
Fiji,FJI,2021,,10359.204,924615,
Finland,FIN,2021,,48753.355,5535982,
France,FRA,2021,,44993.125,64531448,
Gabon,GAB,2021,,13813.723,2341185,
Gambia,GMB,2021,,2076.5664,2639922,
Georgia,GEO,2021,,15486.659,3757984,
Germany,DEU,2021,,53179.656,83408560,
Ghana,GHA,2021,,5435.238,32833036,
Greece,GRC,2021,,29548.04,10445368,
Grenada,GRD,2021,,13688.256,124624,
Guatemala,GTM,2021,,8926.7,17608484,
Guinea,GIN,2021,,2640.3442,13531909,
Guinea-Bissau,GNB,2021,,1831.3832,2060730,
Guyana,GUY,2021,,21925.188,804571,
Haiti,HTI,2021,,2870.145,11447575,
High-income countries,,2021,,50122.207,1219584303,
Honduras,HND,2021,,5572.177,10278346,
Hong Kong,HKG,2021,,59978.15,7494580,
Hungary,HUN,2021,,33593.152,9709784,
Iceland,ISL,2021,,53586.156,370338,
India,IND,2021,,6592.042,1407563904,
Indonesia,IDN,2021,,11858.146,273753184,
Iran,IRN,2021,,15004.6875,87923432,
Iraq,IRQ,2021,,8962.395,43533592,
Ireland,IRL,2021,,102496.22,4986525,
Israel,ISR,2021,,42061.242,8900057,
Italy,ITA,2021,,41929.43,59240336,
Jamaica,JAM,2021,,9596.564,2827701,
Japan,JPN,2021,,40784.383,124612528,
Jordan,JOR,2021,,9223.147,11148288,
Kazakhstan,KAZ,2021,,26110.53,19196468,
Kenya,KEN,2021,,4743.4863,53005616,
Kiribati,KIR,2021,,1937.0894,128883,
Kosovo,OWID_KOS,2021,,11884.18,1662022,
Kyrgyzstan,KGZ,2021,,4814.9565,6527742,
Laos,LAO,2021,,7846.975,7425055,
Latin America and Caribbean (WB),,2021,,15774.807,,
Latvia,LVA,2021,,32081.455,1873926,
Lebanon,LBN,2021,,12977.202,5592626,
Lesotho,LSO,2021,,2295.2322,2281464,
Liberia,LBR,2021,,1423.2296,5193422,
Libya,LBY,2021,,21965.174,6735280,
Lithuania,LTU,2021,,39305.613,2786652,
Low-income countries,,2021,,1956.767,698782037,
Lower-middle-income countries,,2021,,7241.6,3411037255,
Luxembourg,LUX,2021,,115683.49,639330,
Macao,MAC,2021,,64796.996,686616,
Madagascar,MDG,2021,,1463.6288,28915652,
Malawi,MWI,2021,,1491.1339,19889742,
Malaysia,MYS,2021,,26333.156,33573872,
Maldives,MDV,2021,,18765.217,521469,
Mali,MLI,2021,,2120.6233,21904990,
Malta,MLT,2021,,44658.72,526751,
Marshall Islands,MHL,2021,,5961.8164,42074,
Mauritania,MRT,2021,,5307.522,4614981,
Mauritius,MUS,2021,,20967.947,1298922,
Mexico,MEX,2021,,19086.105,126705136,
Micronesia (country),FSM,2021,,3315.2302,113143,
Middle East and North Africa (WB),,2021,,15779.084,,
Middle-income countries,,2021,,11891.63,,
Moldova,MDA,2021,,14009.226,3061509,
Mongolia,MNG,2021,,11668.431,3347782,
Montenegro,MNE,2021,,20602.5,627856,
Morocco,MAR,2021,,8058.397,37076588,
Mozambique,MOZ,2021,,1226.767,32077074,
Myanmar,MMR,2021,,4032.6257,53798088,
Namibia,NAM,2021,,9137.797,2530150,
Nauru,NRU,2021,,11947.395,12533,
Nepal,NPL,2021,,3831.9485,30034988,
Netherlands,NLD,2021,,56617.35,17501696,
New Zealand,NZL,2021,,42915.453,5129730,
Nicaragua,NIC,2021,,5638.748,6850546,
Niger,NER,2021,,1186.5768,25252722,
Nigeria,NGA,2021,,4922.6323,213401328,
North America (WB),,2021,,62042.66,,
North Macedonia,MKD,2021,,16467.316,2103329,
Norway,NOR,2021,,65662.17,5403021,
Oman,OMN,2021,,34294.766,4520474,
Pakistan,PAK,2021,,5232.1426,231402112,
Palau,PLW,2021,,13785.397,18050,
Panama,PAN,2021,,29037.945,4351264,
Papua New Guinea,PNG,2021,,3677.4602,9949438,
Paraguay,PRY,2021,,13687.655,6703802,
Peru,PER,2021,,12514.651,33715464,
Philippines,PHL,2021,,8094.693,113880336,
Poland,POL,2021,,34915.523,38307724,
Portugal,PRT,2021,,33674.527,10290109,
Puerto Rico,PRI,2021,,32632.883,3256030,
Qatar,QAT,2021,,92862.35,2688239,
Romania,ROU,2021,,30776.93,19328558,
Russia,RUS,2021,,27960.102,145102752,
Rwanda,RWA,2021,,2238.9573,13461891,
Saint Kitts and Nevis,KNA,2021,,26485.816,47631,
Saint Lucia,LCA,2021,,13045.955,179663,
Saint Vincent and the Grenadines,VCT,2021,,13695.039,104340,
Samoa,WSM,2021,,5534.127,218781,
Sao Tome and Principe,STP,2021,,4052.1233,223118,
Saudi Arabia,SAU,2021,,44339.312,35950396,
Senegal,SEN,2021,,3495.4036,16876726,
Serbia,SRB,2021,,19831.297,7296771,
Seychelles,SYC,2021,,28760.516,106486,
Sierra Leone,SLE,2021,,1614.6981,8420642,
Singapore,SGP,2021,,106032.23,5941063,
Slovakia,SVK,2021,,31866.025,5447621,
Slovenia,SVN,2021,,40036.484,2119408,
Solomon Islands,SLB,2021,,2406.1135,707855,
Somalia,SOM,2021,,1136.736,17065588,
South Africa,ZAF,2021,,13311.926,59392256,
South Asia (WB),,2021,,6299.5947,,
South Korea,KOR,2021,,44232.207,51830136,
Spain,ESP,2021,,37913.074,47486932,
Sri Lanka,LKA,2021,,13386.682,21773438,
Sub-Saharan Africa (WB),,2021,,3716.9844,,
Sudan,SDN,2021,,3701.069,45657204,
Suriname,SUR,2021,,14766.748,612989,
Sweden,SWE,2021,,53613.42,10467095,
Switzerland,CHE,2021,,71032.84,8691409,
Tajikistan,TJK,2021,,3903.32,9750078,
Tanzania,TZA,2021,,2581.6997,63588332,
Thailand,THA,2021,,17077.043,71601104,
Togo,TGO,2021,,2124.8042,8644829,
Tonga,TON,2021,,6142.857,106034,
Trinidad and Tobago,TTO,2021,,23037.143,1525671,
Tunisia,TUN,2021,,10397.944,12262949,
Turkey,TUR,2021,,31466.56,84775408,
Turks and Caicos Islands,TCA,2021,,18512.457,45141,
Tuvalu,TUV,2021,,4924.0273,11229,
Uganda,UGA,2021,,2246.414,45853780,
Ukraine,UKR,2021,,12943.614,43531424,
United Arab Emirates,ARE,2021,,69733.8,9365149,
United Kingdom,GBR,2021,,44978.715,67281040,
United States,USA,2021,,63669.71,336997632,
Upper-middle-income countries,,2021,,18192.873,2548718303,
Uruguay,URY,2021,,22800.69,3426265,
Uzbekistan,UZB,2021,,7734.8325,34081452,
Vanuatu,VUT,2021,,2783.0195,319146,
Vietnam,VNM,2021,,10628.219,97468024,
West Bank and Gaza,,2021,,5643.0723,,
Zambia,ZMB,2021,,3236.789,19473132,
Zimbabwe,ZWE,2021,,2115.1445,15993525,
